English,French,Correct,Wrong,Attempts
distracts,distraît,0,0,0
distrainable,saisissable,0,0,0
distrainee,saisi,0,0,0
distraint,exécution,0,0,0
distraught,perplexe,0,0,0
distress,"anxiété, détresse",0,0,0
distribute,"distribuons, dispenser, distribuent, distribuer",0,0,0
distributed,"distribua, départi, départie, départies, distribué",0,0,0
distributes,distribue,0,0,0
distributing,"distribuant, départant",0,0,0
distribution,"vente, répartition, diffusion, distribution",0,0,0
distributor,distributeur,0,0,0
district,"district, arrondissement, quartier",0,0,0
distrust,défiance,0,0,0
distrustfulness,soupçon,0,0,0
disturb,"dérangent, brouiller, dérangez, gêner, dérangeons",0,0,0
disturbance,"dérangement, perturbation",0,0,0
disturbed,"dérangea, dérangée, dérangées, dérangèrent",0,0,0
disturbers,tapageur,0,0,0
disturbing,dérangeant,0,0,0
disturbs,dérange,0,0,0
dive,"plongeons, plongez, plonge, plongent, plonger",0,0,0
dived,"plongèrent, plongé, plongea, plongés, plongées",0,0,0
diver,"scaphandrier, plongeur",0,0,0
diverge,"diverger, divergez, divergons, divergent",0,0,0
diverged,"divergâmes, divergèrent, divergés, divergé",0,0,0
diverges,diverge,0,0,0
diverging,divergant,0,0,0
diverse,divers,0,0,0
diversely,fifféremmgnt,0,0,0
diversified,"diversifiâmes, diversifia, diversifiée, diversifié",0,0,0
diversifies,diversifie,0,0,0
diversify,"diversifient, diversifiez, diversifions",0,0,0
diversifying,diversifiant,0,0,0
diversion,déviation,0,0,0
diversity,diversité,0,0,0
divert,distraire,0,0,0
dives,plonge,0,0,0
divest,dégarnir,0,0,0
divide,"divisez, disperser, répartissent, répartissez",0,0,0
divided,"divisa, divisèrent, divisées, divisés, divisai",0,0,0
dividend,dividende,0,0,0
divides,"divise, répartit",0,0,0
dividing,"divisant, répartissant",0,0,0
divine,divin,0,0,0
diving,"plongement, plongeant",0,0,0
diving−suit,scaphandre,0,0,0
divisible,divisible,0,0,0
division,"détachement, division, division",0,0,0
divorce,"divorce, divorcer, divorcent, divorçons, divorcez",0,0,0
divorced,"divorcées, divorcée, divorcé, divorcés, divorçai",0,0,0
divorcing,divorçant,0,0,0
divulge,ébruiter,0,0,0
dizziness,trucage,0,0,0
do,"construire, poser, fais, faire, faisons, font",0,0,0
dock,dock,0,0,0
docker,docker,0,0,0
doctor,"médecin, docteur",0,0,0
doctrine,doctrine,0,0,0
document,"document, documentez, documentent, documenter",0,0,0
documentary,documentaire,0,0,0
documentation files,dossiers,0,0,0
documented,"documenta, documentai, documentées, documentée",0,0,0
documenting,documentant,0,0,0
documents,"documente, documentation",0,0,0
dog,"clebs, chien",0,0,0
dogma,"dogme, dogma",0,0,0
dogs,clebs,0,0,0
doing,faisant,0,0,0
doings,faites,0,0,0
doll,"marionnette, guignol, poupée",0,0,0
dollar,dollar,0,0,0
dolor,tourment,0,0,0
dolphin,dauphin,0,0,0
domain,richement,0,0,0
dome,"coupole, voûte",0,0,0
domestic,domestique,0,0,0
domestic help,femme de ménage,0,0,0
domesticate,"adomestiquez, adomestiquons, adomestiquer",0,0,0
domesticated,"adomestiquâmes, adomestiquai, adomestiqua",0,0,0
domesticates,adomestique,0,0,0
domesticating,adomestiquant,0,0,0
dominate,"dominez, dominer, dominent, dominons, maîtriser",0,0,0
dominated,"domina, dominai, dominâmes, dominées, dominés",0,0,0
dominates,domine,0,0,0
dominating,dominant,0,0,0
dominican,frères prêcheurs,0,0,0
dominion,domination,0,0,0
donation,"donation, libéralité",0,0,0
done,"faites, faits, à point",0,0,0
donkey,"aliboron, âne",0,0,0
donor,donateur,0,0,0
door,porte,0,0,0
doorhandle,clenche,0,0,0
dose,dose,0,0,0
dossier,dossier,0,0,0
double,"géminé, doublons, doublent, double, doublez",0,0,0
double quick,pas de gymnastique,0,0,0
doubled,"doublés, doublées, doubla, doublai, doublèrent",0,0,0
doubling,doublant,0,0,0
doubt,"doutent, doutez, doute, doutons, douter",0,0,0
doubted,"douté, douta, doutèrent, doutai, doutâmes, doutée",0,0,0
doubtfully,douteux,0,0,0
doubting,doutant,0,0,0
dough,"pâte, pâte",0,0,0
doughy,baveux,0,0,0
dove,"colombe, pigeon",0,0,0
down,"duvet, culbuter",0,0,0
downfall,"abaissement, débacle",0,0,0
downstairs,dessous,0,0,0
downstream,aval,0,0,0
downwards,contrebas,0,0,0
dozen,"douzaine, tutoyer",0,0,0
draconian,draconien,0,0,0
draft,traite,0,0,0
draftsman,dessinateur,0,0,0
drag,"transbahuter, traîner",0,0,0
dragon,dragon,0,0,0
dragonfly,libellule,0,0,0
drain,"asséchez, asséchons, assécher, drain, drainez",0,0,0
drainage,"égouttage, égouttement, drainage",0,0,0
drained,"drainée, drainé, assécha, drainées, drainai",0,0,0
draining,"drainant, asséchant",0,0,0
drains,"asséche, draine",0,0,0
drama,le drame,0,0,0
dramatic,spectaculaire,0,0,0
dramatize,"dramatisez, dramatisent, dramatiser, dramatisons",0,0,0
dramatized,"dramatisés, dramatisai, dramatisé, dramatisèrent",0,0,0
dramatizes,dramatise,0,0,0
dramatizing,dramatisant,0,0,0
drank,"burent, bûmes",0,0,0
drape,"drapez, drapons, draper, drapent",0,0,0
draped,"drapâmes, drapé, drapai, drapées, drapa, drapée",0,0,0
drapes,drape,0,0,0
draping,drapant,0,0,0
drastic,énergique,0,0,0
draw,"dessinons, puiser, dessiner, dessinent, dessinez",0,0,0
draw up,"rédige, grossoyer",0,0,0
drawback,désavantage,0,0,0
drawer,"souscripteur, tiroir",0,0,0
drawers,"caleçon, culotte",0,0,0
drawing,"dessin, dessinant",0,0,0
drawn,"dessiné, dessinés, dessinée, dessinées",0,0,0
draws,dessine,0,0,0
dreadful,terrible,0,0,0
dream,"songer, révons, songe, rêvez, rêvent, rêver de",0,0,0
dreaming,rêvant,0,0,0
dreamt,"révé, révées, rêvai, révée, révèrent, rêva, révés",0,0,0
dreary,"abominable, repoussant, affreux, épouvantable",0,0,0
dredge,drague,0,0,0
dress,"habiller, se, vêtons, habillent, habillement, vêts",0,0,0
dressed,"habillé, habillèrent, vêtîmes, habillée, habillés",0,0,0
dresser,commode,0,0,0
dresses,"vêt, habille",0,0,0
dressing,"habillant, vêtant",0,0,0
dressing gown,"robe de chambre, peignoir",0,0,0
drew,"dessinai, dessinèrent, dessina, dessinâmes",0,0,0
dribble,baver,0,0,0
dried,"séchèrent, séchâmes, séchai, séchée, sécha, séchés",0,0,0
dries,séche,0,0,0
drift,drosser,0,0,0
drill,"perçage, perçons, foret, percent, percer, percez",0,0,0
drillbit,trépan,0,0,0
drilled,"perçâmes, percé, percèrent, percés, perçai, percée",0,0,0
drilling,forage,0,0,0
drills,"forets, perce",0,0,0
drink,"boisson, s'enivrer, boivent, boire, buvez",0,0,0
drink to excess,s'enivrer,0,0,0
drinker,suce canelle,0,0,0
drinking,"buvant, buvable, comestible",0,0,0
drinks,boit,0,0,0
drive,"traquer, prise, entrainent, pousser, pourchasser",0,0,0
drive in,"cinéroute, ficher",0,0,0
drive on,"pourchasser, pousser",0,0,0
driver,"chauffeur, conducteur, traqueur",0,0,0
drivers,"drivers, conducteur",0,0,0
driving into,entrainant,0,0,0
driving licence,permis de conduire,0,0,0
drizzle,"bruine, bruiner",0,0,0
droop,pendre,0,0,0
drop,"goutte, tomber",0,0,0
drop of water,goutte,0,0,0
drought,"sècheresse, sécheresse",0,0,0
drown,"noyer, se noyer, noyez, noyent, noyons",0,0,0
drowned,"noyâmes, noyées, noyé, noyèrent, noyée, noyés",0,0,0
drowning,"noyade, noyant",0,0,0
drowns,noie,0,0,0
drowsy,somnolent,0,0,0
drug,"médicament, droque, drogue",0,0,0
drug addict,camé,0,0,0
drugstore,pharmacie,0,0,0
druid,druide,0,0,0
drum,tambour,0,0,0
drunk,"bu, ivre, bus, bues, bue",0,0,0
drupe,drupe,0,0,0
dry,"séchent, séchage, sécher, sec, sèche, séchez",0,0,0
drying,séchant,0,0,0
dual,double,0,0,0
duchess,"duc, duchesse",0,0,0
duck,"cane, canard",0,0,0
duckling,caneton,0,0,0
duct,conduit,0,0,0
due,taxe,0,0,0
duel,duel,0,0,0
duenna,"chaperon, duègne",0,0,0
dues,cotisation,0,0,0
dug,"creusée, creusâmes, creusé, creusa, creusèrent",0,0,0
duke,"duchesse, duc",0,0,0
dukedom,duché,0,0,0
dulcify,édulcorer,0,0,0
dull,"terne, fade, obtus",0,0,0
dumb,muet,0,0,0
dummy,tétine,0,0,0
dump,vidage,0,0,0
dune,dune,0,0,0
dung,excrément,0,0,0
duplicate,dupliquer,0,0,0
duplicator,duplicateur,0,0,0
duplicity,duplicité,0,0,0
durability,durabilité,0,0,0
durable,résistant,0,0,0
duration,étendue,0,0,0
during,"durant, pendant",0,0,0
dusk,crépuscule,0,0,0
dust,"poussiére, poussière",0,0,0
dustbin,seau à ordures,0,0,0
dusting,saupoudrage,0,0,0
Dutch,néerlandais,0,0,0
Dutch woman,Néerlandaise,0,0,0
Dutchman,"néerlandais, Hollandais",0,0,0
dutchwoman,hollandaise,0,0,0
duty,obligation,0,0,0
dwarf,nain,0,0,0
dwell,"loger, demeurer",0,0,0
dwelling,demeure,0,0,0
dwelling−place,domicile,0,0,0
dwelling place,domicile,0,0,0
dye,"teins, teignons, couleur, teignent, teindre",0,0,0
dyed,"teignis, teignirent, teignîmes, teignit, teintes",0,0,0
dyeworks,teinturerue,0,0,0
dying,"teignant, mourant",0,0,0
each,"chacun, chaque",0,0,0
eager,désireux,0,0,0
eager for,avide,0,0,0
eagle,aigle,0,0,0
eagle−owl,grand duc,0,0,0
ear,"oreille, épi",0,0,0
ear−drum,tympan,0,0,0
earl,comte,0,0,0
early,"de bonne heure, précoce, tôt",0,0,0
earmark,destiner,0,0,0
earn,"gagner, gagnons, gagnez, gagnent",0,0,0
earned,"gagna, gagné, gagnées, gagnée, gagnèrent, gagnâmes",0,0,0
earnest,sérieux,0,0,0
earning,gagnant,0,0,0
earnings,"mérite, gain",0,0,0
earns,gagne,0,0,0
ears,auriculaire,0,0,0
earth,mondiale,0,0,0
earths,prise de terre,0,0,0
eartrumpet,cornetacoustique,0,0,0
eased,"facilités, facilité",0,0,0
easel,établi,0,0,0
easier,allège,0,0,0
easily,"léger, facilement",0,0,0
East,est,0,0,0
east,"est, orient",0,0,0
Easter,Pâques,0,0,0
easy,"léger, facile",0,0,0
eat,"déjeuner, mangeons, manger, mangent, mangez",0,0,0
eat up,dévorer,0,0,0
eatable,mangeable,0,0,0
eated,mangea,0,0,0
eaten,"mangées, mangés, mangée, mangé",0,0,0
eating,mangeant,0,0,0
eats,mange,0,0,0
ebb,reflux,0,0,0
echelon,échelon,0,0,0
echo,écho,0,0,0
ecology,"protection de la nature, écologie",0,0,0
econometrics,économétrie,0,0,0
economist,"économe, économiste",0,0,0
economize,"économisez, économisons, économisent",0,0,0
economized,"économisées, économisâmes, économisai, économisés",0,0,0
economizes,économise,0,0,0
economizing,économisant,0,0,0
economy,"économie, alternat",0,0,0
edge,"bord, rive, encoignure",0,0,0
edgy,agité,0,0,0
edict,édit,0,0,0
edit,"éditons, rédiger, éditez, éditent",0,0,0
edited,"édita, éditée, éditées, éditâmes, édité, éditai",0,0,0
editing,"éditant, édition",0,0,0
edition,édition,0,0,0
editor,"rédacteur, éditeur",0,0,0
editorial,édito,0,0,0
editorials,édito,0,0,0
edits,édite,0,0,0
educate,"éduquer, éduquez, éduquons, éduquent",0,0,0
educated,"éduqua, éduquées, éduquée, éduqué, éduqués",0,0,0
educates,éduque,0,0,0
educating,éduquant,0,0,0
education,"enseignement, éducation",0,0,0
educator,éducateur,0,0,0
eel,anguille,0,0,0
effect,effet,0,0,0
effectiveness,efficacité,0,0,0
efficiency,efficience,0,0,0
effigy,effigie,0,0,0
effort,"effort, peine, requête, démarche",0,0,0
effrontery,effronterie,0,0,0
egg,oeuf,0,0,0
egotism,"égoïsme, egoisme",0,0,0
egotist,égotiste,0,0,0
egypt,égypte,0,0,0
Egypt,Egypte,0,0,0
egyptian,égyptien,0,0,0
eia,eia,0,0,0
eight,huit,0,0,0
eighteen,"dix huit, dix−huit",0,0,0
eighth,huitième,0,0,0
eighty,quatre vingt,0,0,0
ejaculation,éjaculation,0,0,0
eject,expulser,0,0,0
ejector,éjecteur,0,0,0
elaboration,amplification,0,0,0
elapse,se dérouler,0,0,0
elastic,"élastique, élastique, elastique",0,0,0
elasticity,élasticité,0,0,0
elastomer,élastomère,0,0,0
elation,enjouement,0,0,0
elbow,coude,0,0,0
eldorado,eldorado,0,0,0
elect,"élisons, élisent, désigner, choisir, élisez",0,0,0
elected,"élis, élu, élus, élîmes, élirent, élues, élue",0,0,0
electing,élisant,0,0,0
election,"scrutin, élection, choix",0,0,0
electorate,électorat,0,0,0
electric,électrique,0,0,0
electric motor,électromoteur,0,0,0
electric plug,bouchon,0,0,0
electrician,électricien,0,0,0
electricity,électricité,0,0,0
electrified,"électrisés, électrisées, électrisai, électrisée",0,0,0
electrifies,électrise,0,0,0
electrify,"électrisent, électriser, électrisez, électrisons",0,0,0
electrifying,électrisant,0,0,0
electrocardiogram,électrocardiogramme,0,0,0
electrode,électrode,0,0,0
electrolysis,électrolyse,0,0,0
electron,électron,0,0,0
electrophoresis,électrophorèse,0,0,0
electroplate,ganvaniser,0,0,0
elegance,"galanterie, élégance",0,0,0
elegant,élégante,0,0,0
element,élément,0,0,0
elementariness,simplicité,0,0,0
elements,rudiments,0,0,0
elephant,éléphant,0,0,0
elevate,"rehausser, soulever",0,0,0
elevator,ascenseur,0,0,0
eleven,onze,0,0,0
elfin,sylphide,0,0,0
eligibility,éligibilité,0,0,0
eligible,idoine,0,0,0
eligibly,qualifiée,0,0,0
eliminate,"éliminent, évacuer, éliminez, éliminer, supprimer",0,0,0
eliminated,"éliminée, éliminé, éliminées, éliminâmes, éliminai",0,0,0
eliminates,élimine,0,0,0
eliminating,"supprimer, éliminant",0,0,0
elimination,aplanissement,0,0,0
eliminator,filtre,0,0,0
élite,élite,0,0,0
elitist,élitaire,0,0,0
elk,élan,0,0,0
ell,coudée,0,0,0
ellipse,ellipse,0,0,0
elm,orme,0,0,0
elocution,élocution,0,0,0
elongation,"allongement, élongation",0,0,0
eloper,fuyard,0,0,0
eloquence,éloquence,0,0,0
eloquent,éloquent,0,0,0
else,"sinon, autre",0,0,0
elsewhere,ailleurs,0,0,0
elude,"éludez, éludons, éluder, éludent",0,0,0
eluded,"éludai, éludés, éludées, éludèrent, éludée, éludé",0,0,0
eludes,élude,0,0,0
eluding,"éludant, évasif",0,0,0
elusion,dérobade,0,0,0
elusions,atermoiements,0,0,0
elusive,fallacieux,0,0,0
elysian,angélique,0,0,0
emaciation,émaciation,0,0,0
emanate,"émanez, émanons, émanent",0,0,0
emanated,"émanai, émanâmes, émana, émané, émanés, émanée",0,0,0
emanates,émane,0,0,0
emanating,émanant,0,0,0
emancipation,émancipation,0,0,0
emancipator,libérateur,0,0,0
emasculation,émasculation,0,0,0
embank,maîtriser,0,0,0
embarassed,confuse,0,0,0
embarasses,penaud,0,0,0
embarassing,ennuyeuse,0,0,0
embargo,embargo,0,0,0
embark,"amorçons, amorcer, amorcent, embarquent, embarquer",0,0,0
embarkation,embarquement,0,0,0
embarked,"amorça, amorcées, amorcée, embarqués, embarquèrent",0,0,0
embarking,"embarquant, amorçant",0,0,0
embarks,"amorce, embarque",0,0,0
embarrass,"embarasser, embarassent, embarassez, embarassons",0,0,0
embarrassed,"embarassèrent, embarassai, embarassâmes, embarassa",0,0,0
embarrasses,embarasse,0,0,0
embarrassing,embarassant,0,0,0
embarrassingly,gênante,0,0,0
embarrassment,"gêne, embarass, embarras",0,0,0
embassy,ambassade,0,0,0
embedment,inclusion,0,0,0
embellish,embellir,0,0,0
embellishing,cosmétique,0,0,0
embellishment,embellissement,0,0,0
embers,cinéraire,0,0,0
embezzle,"détournez, détournons, détournent",0,0,0
embezzled,"détournés, détournées, détourna, détournèrent",0,0,0
embezzles,détourne,0,0,0
embezzling,détournant,0,0,0
embitter,"aigris, acharnons, aigrir, aigrissez, aigrissent",0,0,0
embittered,"aigries, acharné, acharnée, acharnées, aigrie",0,0,0
embittering,"acharnant, aigrissant",0,0,0
embitters,"acharne, aigrit, acrimonieux",0,0,0
emblazon,parer,0,0,0
emblazonment,parure,0,0,0
emblazonments,parure,0,0,0
emblem,"armoiries, emblème",0,0,0
emblematic,symbolique,0,0,0
embolden,encourager,0,0,0
embolism,embolie,0,0,0
emboss,"ciselent, ciselez, ciselons",0,0,0
embossed,"ciselés, ciselées, ciselâmes, ciselé, ciselée",0,0,0
embosses,cisèle,0,0,0
embossing,ciselant,0,0,0
embrace,"embrassement, embrasser, embrassons, embrassent",0,0,0
embraced,"embrassé, embrassés, embrassées, embrassée",0,0,0
embracement,embrassade,0,0,0
embraces,embrasse,0,0,0
embracing,embrassant,0,0,0
embroider,"brodent, brodez, broder, brodons",0,0,0
embroidered,"brodai, brodèrent, brodâmes, brodées, brodé, broda",0,0,0
embroiderer,brodeurse,0,0,0
embroidering,brodant,0,0,0
embroiders,brode,0,0,0
embroils,enchevêtrer,0,0,0
embryo,embryonnaire,0,0,0
emend,"correction, réformer, rectifier",0,0,0
emerald,émeraude,0,0,0
emerge,"germer, comparution, émerger, émergeons, émergent",0,0,0
emerged,"émergé, émergeai, émergea, émergeâmes, émergée",0,0,0
emergence,émergence,0,0,0
emergency,crise,0,0,0
emergency exit,sortie de secours,0,0,0
emerges,émerge,0,0,0
emerging,émergeant,0,0,0
emetic,émétique,0,0,0
emigrant,émigrant,0,0,0
emigrate,"émigrent, émigrons, émigrez, émigrer",0,0,0
emigrated,"émigrées, émigrâmes, émigrai, émigra, émigré",0,0,0
emigrates,émigre,0,0,0
emigration,émigration,0,0,0
eminence,éminence,0,0,0
eminent,distingué,0,0,0
emission,radiation,0,0,0
emit,"émettre, émission",0,0,0
emitter,réalisateur,0,0,0
emotion,"sentiment, émotion, attendrissement",0,0,0
emperor,empereur,0,0,0
emphasis,"emphase, balisage",0,0,0
emphasize,"rehausser, accentuons, soulignement, accentuent",0,0,0
emphasized,"accentuai, accentuées, accentuâmes, accentué",0,0,0
emphasizes,accentue,0,0,0
emphasizing,accentuant,0,0,0
emphatic,"emphatique, expressément",0,0,0
emphysema,emphysème,0,0,0
empire,empire,0,0,0
empiric,empirique,0,0,0
empirical,empirique,0,0,0
empiricism,empirisme,0,0,0
employ,"braquer, embaucher, employez, engager, employent",0,0,0
employed,"employés, employai, employâmes, employèrent",0,0,0
employee,"salarié, contractuel, employé, coopérateur",0,0,0
employer,"maison de commerce, employeur, dabe",0,0,0
employing,employant,0,0,0
employmen,confusion,0,0,0
employs,"prisé, emploie",0,0,0
empower,"commissionner, habiliter",0,0,0
empowered,plénipotentiaire,0,0,0
empress,impératrice,0,0,0
emptied,"vidèrent, vidés, vidées, vidée, vidé, vidâmes",0,0,0
emptily,vacuum,0,0,0
emptiness,vacuum,0,0,0
empty,"videz, vident, vidanger, vider, vidons, vide",0,0,0
emptying,vidant,0,0,0
empyreal,angélique,0,0,0
emulation,émulation,0,0,0
emulsion,émulsion,0,0,0
enamel,"vernir, émailler",0,0,0
enchant,"enchantent, enchantons, enchantez",0,0,0
enchanted,"enchantée, enchantâmes, enchantées, enchanté",0,0,0
enchanter,enchanteur,0,0,0
enchanting,"envoûtant, hilarant, enchantant",0,0,0
enchantingly,envoûtant,0,0,0
enchantment,"ensorcellement, enchantement",0,0,0
enchantress,ensorceleurse,0,0,0
enchants,enchante,0,0,0
enchase,traquer,0,0,0
encipher,coder,0,0,0
encircle,"encercler, ceignez, ceignons, ceins, ceignent",0,0,0
encircled,"ceignîmes, ceignirent, ceignis, ceinte, ceint",0,0,0
encircling,ceignant,0,0,0
enclave,enclave,0,0,0
enclose,"enserrer, enserrent, enserrez, enferment, enclosez",0,0,0
enclosed,"enfermèrent, enserrèrent, enserrée, enserrées",0,0,0
encloses,"enferme, enclôt, enserre, clôt",0,0,0
enclosing,"inclusif, enserrant, enfermant",0,0,0
enclosure,"conditionneur, encart, cloture",0,0,0
encompass,"cerner, cernez, cernons, cernent",0,0,0
encompassed,"cernée, cernèrent, cernés, cernées, cerné, cernai",0,0,0
encompasses,cerne,0,0,0
encompassing,cernant,0,0,0
encompassment,inclusion,0,0,0
encore,excédent,0,0,0
encounter,"rencontrons, rencontrez, rencontrent, rencontre",0,0,0
encountered,"rencontrée, rencontrés, rencontrées, rencontré",0,0,0
encountering,rencontrant,0,0,0
encounters,rencontre,0,0,0
encourage,"encouragez, encourager, encouragent, encourageons",0,0,0
encouraged,"encouragée, encouragées, encouragé, encouragea",0,0,0
encouragement,encouragement,0,0,0
encourages,encourage,0,0,0
encouraging,encourageant,0,0,0
encroach,"empiétez, empiéter, empiétent, empiétons",0,0,0
encroached,"empiétés, empiéta, empiétées, empiétée, empiétai",0,0,0
encroaches,empiétte,0,0,0
encroaching,empiétant,0,0,0
encroachment,"anticipation, empiétement",0,0,0
encrypt,déchiffrer,0,0,0
encryption,planquer,0,0,0
encumber,"encombrons, encombrez, encombrent, grever",0,0,0
encumbered,"encombra, encombrés, encombré, encombrée, charge",0,0,0
encumbered with debts,criblée,0,0,0
encumbering,"accablant, encombrant",0,0,0
encumbers,encombre,0,0,0
encumbers with debts,endetté,0,0,0
encumbrance,"accablement, encombrement",0,0,0
encyclopaedia,encyclopédie,0,0,0
encyclopedia,encyclopédie,0,0,0
encyclopedical,poussée,0,0,0
encyclopedically,encyclopédique,0,0,0
end,"se dénouer, finir, terminaison, fin, finissons",0,0,0
endanger,compromettre,0,0,0
endearing,affectieux,0,0,0
endearingly,affectieuxse,0,0,0
endeavour,peiner,0,0,0
ended,"finîmes, finies, finirent, finie",0,0,0
ending,"fin, finissant",0,0,0
endmost,dernierère,0,0,0
endorse,"endossons, avalisent, avaliser, virer, endossent",0,0,0
endorsed,"avalisé, avalisées, avalisa, avalisâmes, endossées",0,0,0
endorsement,mention,0,0,0
endorses,"avalise, endosse",0,0,0
endorsing,"avalisant, endossant",0,0,0
endow,"dotez, dotent, doter, dotons",0,0,0
endowed,"dotées, dotés, dotée, dotèrent, dotâmes, dotai",0,0,0
endowing,dotant,0,0,0
endowment,"donation, dotation",0,0,0
endows,dote,0,0,0
ends,"fini, finit",0,0,0
endued,vêtue,0,0,0
endues,vêtu,0,0,0
endurable,tenable,0,0,0
endurance,endurance,0,0,0
endure,"supporter, durer, endurer, endurent, souffrir",0,0,0
endured,"endurèrent, endurés, supporta, enduré, endura",0,0,0
endures,"endure, supporte",0,0,0
enduring,"supportant, continûment, endurant",0,0,0
enduringly,sempiternelle,0,0,0
enema,lavement,0,0,0
energy,"énergie, poigne",0,0,0
enervate,"énervez, énervons, énervent",0,0,0
enervated,"énervèrent, énervé, énervâmes, énervai, énerva",0,0,0
enervates,énerve,0,0,0
enervating,énervant,0,0,0
enervation,"énervement, énervation, débilité",0,0,0
enfeeble,débiliter,0,0,0
enfeeblement,inanition,0,0,0
enfold,englober,0,0,0
enforced,forcé,0,0,0
enforcement,contrainte,0,0,0
enfranchise,libérer,0,0,0
enfranchised,exempte,0,0,0
enfranchisement,attribution,0,0,0
enfranchises,exempt,0,0,0
engage,"engagez, accrochons, engager, engageons, saillir",0,0,0
engaged,"engageâmes, engagé, prisé, accrochâmes, engagée",0,0,0
engagement,"engagement, incorporation",0,0,0
engagement book,"semainier, carnet",0,0,0
engages,"accroche, obligé, engage",0,0,0
engaging,"accrochant, engageant, obligatoire",0,0,0
engender,"engendrons, engendrent, engendrez",0,0,0
engendered,"engendrai, engendra, engendrés, engendrèrent",0,0,0
engendering,"engendrant, générateur",0,0,0
engenders,engendre,0,0,0
engine,"réacteur, moteur, machine, propulseur",0,0,0
engineer,ingénieur,0,0,0
engineering,"etudes, manigance",0,0,0
engineman,machiniste,0,0,0
england,l'angleterre,0,0,0
England,Angleterre,0,0,0
English,anglais,0,0,0
Englishman,anglais,0,0,0
engorging,échauffant,0,0,0
engpass,goulet,0,0,0
engrave,"engravent, engraver, engravez, engravons",0,0,0
engraved,"engravés, engravèrent, engravée, engravées",0,0,0
engraver,graveur,0,0,0
engraves,engrave,0,0,0
engraving,"engravant, gravure",0,0,0
engross,réquisitionner,0,0,0
engrossing,palpitant,0,0,0
engrossingly,prenant,0,0,0
engrossment,grosse,0,0,0
engulf,submersion,0,0,0
enhance,"enchérissons, accroître, enchérissent, enchéris",0,0,0
enhanced,"enchéri, enchéries, enchérirent, enchérîmes",0,0,0
enhancement,surcroît,0,0,0
enhances,enchérit,0,0,0
enhancing,enchérissant,0,0,0
enigma,énigme,0,0,0
enigmatic,énigmatique,0,0,0
enjoy,"jouissent, jouis, jouissez, jouissons",0,0,0
enjoyable,"agréable, comestible",0,0,0
enjoyed,"jouies, jouirent, jouie, joui, jouîmes",0,0,0
enjoying,jouissant,0,0,0
enjoyment,"usufruit, jouissance",0,0,0
enjoys,jouit,0,0,0
enlarge,"agrandir, agrandissez, agrandissons, agrandissent",0,0,0
enlarged,"agrandi, agrandie, agrandies, agrandîmes",0,0,0
enlargement,agrandissement,0,0,0
enlarger,agrandisseur,0,0,0
enlarges,agrandit,0,0,0
enlarging,agrandissant,0,0,0
enlighten,"éclairez, éclairent, éclairons, éclairer",0,0,0
enlightened,"éclairés, éclairé, éclaira, éclairai, éclairâmes",0,0,0
enlightening,éclairant,0,0,0
enlightenment,"éclairement, éclaircissement",0,0,0
enlightens,éclaire,0,0,0
enlisted,intéressée,0,0,0
enlists,intéressé,0,0,0
enliven,vivifier,0,0,0
enlivened,mouvementée,0,0,0
enlivening,vivifiant,0,0,0
enmity,"inimitie, hostilité",0,0,0
ennoble,"ennoblissons, ennoblir, anoblissent, anoblis",0,0,0
ennobled,"ennoblie, ennoblîmes, anobli, ennoblirent, ennobli",0,0,0
ennoblement,soulèvement,0,0,0
ennobles,"anoblit, ennoblit",0,0,0
ennobling,"ennoblissant, anoblissant",0,0,0
ennui,ennui,0,0,0
enormity,énormité,0,0,0
enormous,"faramineux, énormément",0,0,0
enormously,"faramineux, faramineuxse",0,0,0
enough,"suffisant, passable, assez",0,0,0
enquire,"questionner, se renseigner",0,0,0
enquiry,question,0,0,0
enrage,"enragent, enragez, enrager, enrageons",0,0,0
enraged,"enragés, enragées, enragée, enrageai, enragea",0,0,0
enrages,enrage,0,0,0
enraging,enrageant,0,0,0
enrapturing,véhément,0,0,0
enrich,"enrichissent, enrichissez, enrichissons, enrichir",0,0,0
enriched,"enrichîmes, enrichirent, enrichi, enrichies",0,0,0
enriches,enrichit,0,0,0
enriching,enrichissant,0,0,0
enrichment,enrichissement,0,0,0
enrol,"braquer, lettre recommandée",0,0,0
enroll,inscrire,0,0,0
enrollee,demandeur,0,0,0
ensconce,planquer,0,0,0
enshrine,vénérer,0,0,0
enshrinement,vénération,0,0,0
ensign,fanion,0,0,0
ensigns,pavoiser,0,0,0
enslave,"asservons, asservent, asservez, asservir",0,0,0
enslaved,"asservi, asservîmes, asservirent, asservie",0,0,0
enslaves,assert,0,0,0
enslaving,asservant,0,0,0
ensue,séquelles,0,0,0
entail,comporter,0,0,0
entangle,"entortiller, empêtrer",0,0,0
entanglement,"embrouillement, fouillis",0,0,0
enter,"entrent, entrons, irruption, affilier, entrer",0,0,0
entered,"entrai, entra, entrés, entrâmes, entrées, entré",0,0,0
entering,entrant,0,0,0
enterprise,entreprise,0,0,0
entertain,"divertissez, divertis, divertissent, divertissons",0,0,0
entertained,"divertîmes, entretenue, diverti, diverties",0,0,0
entertainer,causeur,0,0,0
entertaining,"drôle, entretenant, divertissant, amusant",0,0,0
entertainment,"divertissement, plaisanterie, entretien, amusement",0,0,0
entertains,"entretient, divertit",0,0,0
enthrone,insertion,0,0,0
enthused,mordue,0,0,0
